source_file,ts_end,speed_mean,speed_std,speed_p95,rpm_mean,rpm_std,rpm_p95,throttle_mean,throttle_std,throttle_p95,throttle_dp95,brake_mean,brake_p95,brake_dp95,a_mean,a_std,a_p95,a_p05,abs_a_mean,jerk_abs_mean,jerk_abs_p95,l_per_100km,label
20260404_091932.csv,7277800,58.36,0.48,59.0,1874.36,15.34113424750595,1907.4,24.84,9.577807682345686,44.099999999999994,15.499999999999972,0.0,0.0,0.0,-0.05555555555555555,0.38888888888888884,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,5.033584647016172,
20260404_091932.csv,7280300,58.36,0.48000000000000004,59.0,1877.48,15.610560528052796,1911.0,26.24,2.2321290285285933,28.0,10.0,0.0,0.0,0.0,0.05555555555555555,0.3888888888888889,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,3.775188485265495,
20260404_091932.csv,7282800,59.26,0.6873136110975833,60.0,1900.8,20.362711017936682,1935.45,26.38,6.6419575427730635,29.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.5443310539518174,0.0,0.0,0.1111111111111111,2.222222222222222,27.777777777777775,3.7057036787031317,
20260404_091932.csv,7285300,59.6,0.4898979485566356,60.0,1907.74,14.672164121219474,1935.45,14.14,12.884114249726288,29.0,10.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.1111111111111111,2.222222222222222,27.777777777777775,3.684563758388383,
20260404_091932.csv,7287800,59.2,0.4,60.0,1887.72,20.55338414957498,1919.75,3.5,3.678314831549904,9.0,5.499999999999972,0.0,0.0,0.0,-0.05555555555555555,0.38888888888888884,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,2.468918918921928,eco
20260404_091932.csv,7290300,58.76,0.4270831300812524,59.0,1876.66,16.272197147281616,1901.0,12.08,11.665058936842112,32.0,40.0,0.0,0.0,0.0,0.0,0.7856742013183862,0.0,0.0,0.2222222222222222,4.444444444444444,27.777777777777775,3.724982981621219,
20260404_091932.csv,7292800,59.02,0.7068238818828916,60.0,1892.3,19.73448757885545,1922.2,22.6,11.192854863706579,32.0,40.0,0.0,0.0,0.0,0.05555555555555555,0.8766518798921944,1.52777777777777,0.0,0.27777777777777773,5.555555555555555,27.777777777777775,4.940698068450485,
20260404_091932.csv,7295300,59.76,0.4270831300812525,60.0,1908.28,16.17657565741279,1924.0,12.82,14.189700490144252,32.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.38888888888888884,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,3.6626506024063072,
20260404_091932.csv,7297800,59.72,0.44899888641287294,60.0,1909.04,14.67100541885252,1924.0,4.42,7.9349606174195975,24.549999999999997,40.99999999999994,0.0,0.0,0.0,-0.05555555555555555,0.3888888888888889,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,2.4594775619568456,eco
20260404_091932.csv,7300300,59.64,0.48,60.0,1912.72,16.06118301993972,1945.3,18.58,13.359775447214671,38.0,40.99999999999994,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.1111111111111111,2.222222222222222,27.777777777777775,3.6700201207254004,
