source_file,ts_end,speed_mean,speed_std,speed_p95,rpm_mean,rpm_std,rpm_p95,throttle_mean,throttle_std,throttle_p95,throttle_dp95,brake_mean,brake_p95,brake_dp95,a_mean,a_std,a_p95,a_p05,abs_a_mean,jerk_abs_mean,jerk_abs_p95,label,real_label
20260404_091932.csv,137800,2.0,3.2,8.0,1215.9,264.59321608839485,1368.55,1.66,6.192285523132796,13.049999999999969,38.4999999999998,0.1,0.0,0.0,0.4444444444444444,1.4010578014353878,2.7777777777777777,0.0,0.4444444444444444,5.5555555555555545,27.777777777777775,normal,normal
20260404_091932.csv,140300,6.94,3.971951661337283,12.0,1304.04,159.42834879656755,1594.0,22.74,25.54353930057462,61.0,90.0,0.0,0.0,0.0,0.6666666666666665,1.6254154264808662,2.7777777777777777,0.0,0.7777777777777777,12.222222222222221,43.05555555555547,aggressive,aggressive
20260404_091932.csv,142800,11.82,2.3553343711668626,15.549999999999997,1281.12,191.02038006453657,1594.0,40.6,20.632013958894078,61.0,90.0,0.0,0.0,0.0,0.4444444444444444,1.1600340565456166,2.7777777777777777,0.0,0.5555555555555555,11.111111111111112,27.777777777777775,normal,normal
20260404_091932.csv,145300,15.06,1.678213335663854,17.0,1200.6,105.99735845765214,1310.1,25.0,23.58304475677388,52.0,46.499999999999915,0.0,0.0,0.0,0.16666666666666663,1.1666666666666665,2.7777777777777777,-1.5277777777777772,0.5,9.999999999999998,27.777777777777775,normal,normal
20260404_091932.csv,147800,15.08,1.4810806865258896,17.0,1168.34,97.83243020593937,1307.65,5.48,14.33769856008976,45.0,0.0,1.36,13.099999999999994,41.999999999999886,-0.16666666666666663,1.0258991840344105,0.0,-2.7777777777777777,0.38888888888888884,7.777777777777779,27.777777777777775,normal,normal
20260404_091932.csv,150300,11.82,2.7472895733795517,15.0,1040.46,50.697617301013274,1138.0,0.0,0.0,0.0,0.0,31.12,74.0,80.0,-0.49999999999999994,1.0671873729054748,0.0,-2.7777777777777777,0.49999999999999994,9.999999999999998,27.777777777777775,normal,normal
20260404_091932.csv,152800,8.32,2.831536685264734,13.0,1092.1,196.62382866783977,1544.7499999999995,20.46,32.359981458585544,82.64999999999999,115.49999999999997,33.88,74.0,70.99999999999994,-0.11111111111111109,1.567415108851765,2.7777777777777777,-2.7777777777777777,0.8888888888888888,16.66666666666667,27.777777777777775,aggressive,aggressive
20260404_091932.csv,155300,11.24,4.781464210887707,17.0,1465.74,435.05267772995035,2266.8,49.72,39.23418917220031,99.0,227.49999999999986,4.12,40.0,0.0,0.611111111111111,1.3933262448871613,2.7777777777777777,0.0,0.8333333333333333,13.333333333333332,27.777777777777775,aggressive,aggressive
20260404_091932.csv,157800,18.72,3.5498732371734065,25.0,1718.16,307.02705809097677,2266.8,69.96,32.077381439263405,99.0,213.99999999999977,0.0,0.0,0.0,0.7777777777777777,1.247219128924647,2.7777777777777777,0.0,0.7777777777777777,13.333333333333332,27.777777777777775,aggressive,aggressive
20260404_091932.csv,160300,24.66,3.3977051078632474,29.0,1902.46,250.7780859644638,2196.05,64.88,20.810228254394524,93.0,5.499999999999972,0.0,0.0,0.0,0.611111111111111,1.2777777777777777,2.7777777777777777,0.0,0.7222222222222221,13.88888888888889,27.777777777777775,aggressive,aggressive
20260404_091932.csv,162800,27.84,0.8089499366462674,29.0,2131.14,52.55435662245329,2201.0,37.68,14.483701184434869,66.55,10.0,0.0,0.0,0.0,0.16666666666666663,1.1666666666666665,2.7777777777777777,-1.5277777777777772,0.5,10.0,27.777777777777775,normal,normal
20260404_091932.csv,165300,27.24,1.0688311372709909,28.549999999999997,2073.44,88.74078205650432,2172.65,17.6,12.709051892253804,28.0,0.0,0.0,0.0,0.0,-0.16666666666666663,1.0258991840344105,0.0,-2.7777777777777777,0.38888888888888884,8.333333333333332,27.777777777777775,eco,eco
20260404_091932.csv,167800,24.34,2.3031283073246267,27.0,1851.62,175.0456957482817,2098.1,4.1,9.468368391650168,27.0,0.0,0.0,0.0,0.0,-0.4444444444444444,1.018350154434631,0.0,-2.7777777777777777,0.4444444444444444,8.888888888888888,27.777777777777775,normal,normal
20260404_091932.csv,170300,20.08,2.552175542551883,24.0,1503.5,229.75180086345352,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0671873729054746,0.0,-2.7777777777777777,0.5,9.444444444444445,27.777777777777775,normal,normal
20260404_091932.csv,172800,16.72,1.4005713120009275,19.0,1173.78,160.95580635690035,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2777777777777778,0.8333333333333333,0.0,-2.7777777777777777,0.2777777777777778,5.555555555555555,27.777777777777775,normal,normal
20260404_091932.csv,175300,14.68,1.2400000000000002,16.0,1024.1,29.03119012372727,1080.55,0.0,0.0,0.0,0.0,12.56,63.099999999999994,90.99999999999994,-0.2777777777777778,0.8333333333333334,0.0,-2.7777777777777777,0.2777777777777778,5.555555555555555,27.777777777777775,normal,normal
20260404_091932.csv,177800,9.32,5.21704897427655,15.0,1032.56,75.61538467798734,1249.85,0.0,0.0,0.0,0.0,47.76,82.0,90.99999999999994,-0.8333333333333331,1.5957118462605633,0.0,-2.7777777777777777,0.8333333333333331,15.555555555555554,27.777777777777775,aggressive,aggressive
20260404_091932.csv,180300,2.44,3.5897632233895322,10.0,1193.76,152.7706202121337,1352.0,0.0,0.0,0.0,0.0,84.6,145.1,136.9999999999996,-0.611111111111111,1.4999999999999998,0.0,-2.7777777777777777,0.611111111111111,11.666666666666664,27.777777777777775,aggressive,aggressive
20260404_091932.csv,252800,2.08,3.77804182083788,10.549999999999997,1096.34,309.88324317394125,1603.85,11.62,14.91695679419901,41.949999999999974,71.99999999999989,49.6,112.0,0.0,0.6666666666666665,1.5275252316519465,2.7777777777777777,0.0,0.6666666666666665,6.11111111111111,27.777777777777775,aggressive,aggressive
20260404_091932.csv,255300,8.96,5.754858816686991,14.0,1438.66,324.07527582338025,1951.35,20.34,18.742048980834515,58.0,90.0,0.0,0.0,0.0,0.7777777777777777,1.5752718754175359,2.7777777777777777,0.0,0.7777777777777777,8.888888888888888,27.777777777777775,aggressive,aggressive
20260404_091932.csv,257800,13.8,0.7483314773547883,15.0,1312.2,331.93692171856986,1951.35,9.88,18.228154048065313,58.0,25.49999999999997,10.68,51.099999999999994,70.99999999999994,0.0,0.9622504486493763,1.52777777777777,-1.5277777777777772,0.33333333333333326,7.222222222222221,27.777777777777775,normal,normal
20260404_091932.csv,260300,10.36,4.023729613182277,15.0,1052.14,45.39912333955359,1127.2,1.16,4.592864030210344,10.449999999999946,0.0,35.12,58.0,70.99999999999994,-0.611111111111111,1.3933262448871613,0.0,-2.7777777777777777,0.7222222222222221,13.333333333333336,27.777777777777775,aggressive,aggressive
20260404_091932.csv,262800,3.64,3.8197382109249314,10.0,979.08,68.76011634661478,1058.55,0.0,0.0,0.0,0.0,29.52,58.0,20.0,-0.6666666666666665,1.4229164972072996,0.0,-2.7777777777777777,0.6666666666666665,12.222222222222221,55.55555555555555,normal,normal
20260404_091932.csv,265300,4.48,5.235417843878366,14.0,1239.34,377.55431980047587,1962.8,14.66,20.24313216871342,52.0,30.0,5.08,32.0,0.0,0.6111111111111112,1.8666997351568269,2.7777777777777777,0.0,0.9444444444444445,12.22222222222222,55.55555555555555,aggressive,aggressive
20260404_091932.csv,267800,12.32,5.061383210151154,18.549999999999997,1527.18,305.081149204601,2052.5,38.04,30.980613292832018,84.0,140.99999999999994,0.0,0.0,0.0,1.1111111111111112,1.6666666666666665,2.7777777777777777,0.0,1.1111111111111112,13.888888888888888,27.777777777777775,aggressive,aggressive
20260404_091932.csv,270300,21.24,6.071441344524379,32.55,1770.7,379.3925276016912,2371.0,68.4,42.25967344880932,112.1,140.99999999999994,0.0,0.0,0.0,1.0555555555555554,1.4582671942674097,2.7777777777777777,0.0,1.0555555555555554,15.555555555555557,27.777777777777775,aggressive,aggressive
20260404_091932.csv,272800,30.9,5.728001396647874,39.0,1970.4,231.10742091070983,2371.0,89.46,38.84441272564177,112.1,182.99999999999983,0.0,0.0,0.0,1.111111111111111,1.6666666666666667,2.7777777777777777,0.0,1.333333333333333,21.66666666666667,43.05555555555547,aggressive,aggressive
20260404_091932.csv,275300,39.68,4.822613399392492,46.55,1913.82,183.91549037533517,2209.0,86.26,44.19900903866511,121.0,326.4999999999999,0.0,0.0,0.0,0.7777777777777777,1.6703662642636565,2.7777777777777777,-2.7777777777777777,1.222222222222222,23.33333333333333,55.55555555555555,aggressive,aggressive
20260404_091932.csv,277800,46.68,3.0426304409178586,50.0,1943.28,154.42616876682527,2209.0,65.32,46.91031443083706,121.0,139.99999999999943,0.0,0.0,0.0,0.5555555555555555,1.3608276348795434,2.7777777777777777,0.0,0.7777777777777777,15.555555555555554,55.55555555555555,aggressive,aggressive
20260404_091932.csv,280300,48.78,1.2851459061133876,50.0,1946.44,53.72565867441739,2013.2,23.5,36.74738085904899,95.0,0.0,0.0,0.0,0.0,-0.05555555555555555,1.0378634273483003,1.52777777777777,-2.7777777777777777,0.38888888888888884,7.777777777777777,27.777777777777775,eco,eco
20260404_091932.csv,282800,46.1,2.3853720883753127,50.0,1834.72,92.21389049378624,1973.4,13.26,27.35968567070901,79.94999999999997,95.49999999999997,0.0,0.0,0.0,-0.38888888888888884,0.9638528651609706,0.0,-2.7777777777777777,0.38888888888888884,7.777777777777777,27.777777777777775,normal,normal
20260404_091932.csv,285300,44.64,1.292439553712281,47.0,1782.84,51.36588751301782,1877.1,59.42,40.803475342181336,96.0,95.49999999999997,0.0,0.0,0.0,0.05555555555555555,1.0378634273483005,2.7777777777777777,-1.5277777777777772,0.38888888888888884,7.777777777777777,27.777777777777775,normal,normal
20260404_091932.csv,287800,47.62,2.7560116110060204,52.0,1907.98,111.79472080559083,2084.1,97.72,6.982950665728635,107.0,30.999999999999943,0.0,0.0,0.0,0.5555555555555556,1.1111111111111112,2.7777777777777777,0.0,0.5555555555555556,10.555555555555557,27.777777777777775,normal,normal
20260404_091932.csv,290300,51.66,2.0357799488156867,54.0,1876.32,199.5491358036912,2126.0,90.36,43.149859791197464,132.0,140.4999999999997,0.0,0.0,0.0,0.4444444444444444,1.286204100310025,2.7777777777777777,0.0,0.6666666666666665,12.777777777777779,27.777777777777775,aggressive,aggressive
20260404_091932.csv,292800,55.48,2.5238066486955772,60.0,1798.78,159.58800581497346,2126.0,100.16,51.8236857045116,133.0,140.4999999999997,0.0,0.0,0.0,0.38888888888888884,1.243501626977744,2.7777777777777777,0.0,0.611111111111111,12.777777777777779,27.777777777777775,aggressive,aggressive
20260404_091932.csv,295300,58.54,1.564736399525492,60.0,1708.84,168.26923188747253,1912.95,86.94,50.00136398139555,133.0,176.49999999999991,0.0,0.0,0.0,0.27777777777777773,1.0015420209622192,2.7777777777777777,0.0,0.38888888888888884,8.333333333333332,27.777777777777775,aggressive,aggressive
20260404_091932.csv,297800,59.84,0.6118823416311342,61.0,1610.8,95.80083506942933,1691.1,55.82,27.940429488467068,85.0,176.49999999999991,0.0,0.0,0.0,0.05555555555555555,1.1772011166898384,2.7777777777777777,-2.7777777777777777,0.5,9.444444444444443,43.05555555555547,aggressive,aggressive
20260404_091932.csv,300300,60.38,0.48538644398046393,61.0,1651.66,15.900452823740586,1691.0,45.66,21.155245212476267,70.64999999999999,0.0,0.0,0.0,0.0,0.0,1.3608276348795434,2.7777777777777777,-2.7777777777777777,0.6666666666666665,13.333333333333332,55.55555555555555,normal,normal
