timestamp,ignition,speed,rpm,throttle,brake,fuel_level,fuel_cons,distance,range,oil_temp,esp,rear_gear
167574,1,0,0,0,110,0,62461.79,147056,69,41,0,0
167739,1,0,0,0,235,0,62461.79,147056,69,42,0,0
167837,1,0,0,0,234,0,62461.79,147056,69,42,0,0
167887,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168071,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168181,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168285,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168387,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168387,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168585,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168701,1,0,0,0,234,0,62461.79,147056,69,42,0,0
168831,1,0,0,0,236,0,62461.79,147056,69,42,0,0
168887,1,0,0,0,238,0,62461.79,147056,69,42,0,0
169037,1,0,0,0,238,0,62461.79,147056,69,42,0,0
169156,1,0,128,0,246,0,62461.79,147056,69,42,0,0
169256,1,0,192,0,248,0,62461.79,147056,69,42,0,0
169356,1,0,256,0,250,0,62461.79,147056,69,42,0,0
169387,1,0,256,0,250,0,62461.79,147056,69,42,0,0
169585,1,0,898,0,252,21,62461.79,147056,69,42,0,0
169687,1,0,1357,0,252,21,62461.79,147056,69,42,0,0
169794,1,0,1592,0,252,21,62461.79,147056,69,42,0,0
169887,1,0,1594,0,252,21,62461.79,147056,69,42,0,0
169941,1,0,1562,0,252,21,62461.79,147056,69,42,0,0
170085,1,0,1535,0,278,21,62461.79,147056,69,42,0,0
170237,1,0,1499,0,284,21,62461.79,147056,69,42,0,0
170337,1,0,1463,0,282,21,62461.79,147056,69,42,0,0
170387,1,0,1422,0,278,21,62461.79,147056,69,42,0,0
170537,1,0,1407,0,278,21,62461.79,147056,69,42,0,0
170656,1,0,1402,0,260,21,62461.79,147056,69,42,0,0
170756,1,0,1378,0,254,21,62461.79,147056,69,42,0,0
170887,1,0,1405,0,250,21,62461.79,147056,69,42,0,0
170931,1,0,1405,0,250,21,62461.79,147056,69,42,0,0
171085,1,0,1367,0,250,21,62462.80,147056,69,42,0,0
171201,1,0,1367,0,248,21,62462.80,147056,69,42,0,0
171321,1,0,1371,0,248,21,62462.80,147056,69,42,0,0
171387,1,0,1372,0,246,21,62462.80,147056,69,42,0,0
171537,1,0,1375,0,246,21,62462.80,147056,69,42,0,0
171643,1,0,1375,0,246,21,62462.80,147056,69,42,0,0
171643,1,0,1375,0,246,21,62462.80,147056,69,42,0,0
171856,1,0,1345,0,244,21,62462.80,147056,69,42,0,0
171985,1,0,1346,0,244,21,62462.80,147056,69,42,0,0
172085,1,0,1347,0,244,21,62462.80,147056,69,42,0,0
172201,1,0,1348,0,244,21,62462.80,147056,69,42,0,0
172285,1,0,1318,0,244,21,62462.80,147056,69,42,0,0
172387,1,0,1350,0,244,21,62462.80,147056,69,42,0,0
172531,1,0,1351,0,246,21,62462.80,147056,69,42,0,0
172637,1,0,1320,0,250,21,62462.80,147056,69,42,0,0
172737,1,0,1322,0,256,21,62463.82,147056,69,42,0,0
172856,1,0,1354,0,260,21,62463.82,147056,69,42,0,0
172956,1,0,1354,0,264,21,62463.82,147056,69,42,0,0
173071,1,0,1354,0,266,21,62463.82,147056,69,42,0,0
173181,1,0,1355,0,266,21,62463.82,147056,69,42,0,0
173285,1,0,1327,0,266,21,62463.82,147056,69,42,0,0
173387,1,0,1359,0,266,21,62463.82,147056,69,42,0,0
173485,1,0,1326,0,266,21,62463.82,147056,69,42,0,0
173585,1,0,1360,0,266,21,62463.82,147056,69,42,0,0
173701,1,0,1330,0,266,21,62463.82,147056,69,42,0,0
173831,1,0,1330,0,266,21,62463.82,147056,69,42,0,0
173937,1,0,1362,0,266,21,62463.82,147056,69,42,0,0
174043,1,0,1330,0,266,21,62463.82,147056,69,42,0,0
174156,1,0,1331,0,266,21,62463.82,147056,69,42,0,0
174256,1,0,1331,0,266,21,62464.83,147056,69,42,0,0
174356,1,0,1364,0,262,21,62464.83,147056,69,42,0,0
174482,1,0,1364,0,256,21,62464.83,147056,69,42,0,0
174585,1,0,1334,0,244,21,62464.83,147056,69,42,0,0
174687,1,0,1367,0,214,21,62464.83,147056,69,42,0,0
174785,1,0,1368,0,190,21,62464.83,147056,69,42,0,0
174887,1,0,1368,0,178,21,62464.83,147056,69,42,0,0
174985,1,0,1336,0,150,21,62464.83,147056,69,42,0,0
175085,1,0,1369,0,112,21,62464.83,147056,69,42,0,0
175237,1,0,1369,0,106,21,62464.83,147056,69,42,0,0
175337,1,0,1369,0,96,21,62464.83,147056,69,42,0,0
175451,1,0,1370,0,60,21,62464.83,147056,69,42,0,0
