timestamp,ignition,speed,rpm,throttle,brake,fuel_level,fuel_cons,distance,range,oil_temp,esp,rear_gear
16460,1,0,0,0,274,0,111639.14,148736,2370,0,0,0
16803,1,0,0,0,266,0,111639.14,148736,2370,97,0,0
17390,1,0,1048,0,266,0,111639.14,148736,2370,97,0,0
17787,1,0,1070,0,240,0,111639.14,148736,2370,97,0,0
17991,1,0,969,0,240,53,111639.14,148736,2370,97,0,0
18373,1,0,833,0,240,53,111639.14,148736,2370,97,0,0
18588,1,0,834,0,238,53,111639.14,148736,2370,97,0,0
18889,1,0,833,0,214,53,111639.14,148736,2370,97,0,0
19274,1,0,874,0,202,53,111639.14,148736,2370,97,0,0
19488,1,0,841,0,200,53,111639.14,148736,2370,97,0,0
19874,1,0,836,0,200,53,111639.14,148736,2370,97,0,0
20087,1,0,835,0,196,53,111639.14,148736,2370,97,0,0
20464,1,0,834,0,190,53,111639.14,148736,2370,97,0,0
20687,1,0,801,0,190,53,111639.14,148736,322,97,0,0
21062,1,0,800,0,190,53,111639.14,148736,322,97,0,0
21273,1,0,801,0,190,53,111639.14,148736,322,97,0,0
21642,1,0,838,0,190,53,111639.14,148736,322,97,0,0
21873,1,0,840,0,190,53,111639.14,148736,322,97,0,0
22342,1,0,840,0,190,53,111639.14,148736,322,97,0,0
22551,1,0,840,0,190,53,111639.14,148736,322,97,0,0
22889,1,0,840,0,264,53,111639.14,148736,322,97,0,0
23240,1,0,841,0,304,53,111639.14,148736,322,97,0,0
23470,1,0,840,0,304,53,111639.14,148736,322,97,0,0
23830,1,0,840,0,356,53,111639.14,148736,322,97,0,0
24040,1,0,840,0,356,53,111639.14,148736,322,97,0,0
24424,1,0,839,0,350,53,111640.16,148736,322,97,0,0
24664,1,0,839,0,350,53,111640.16,148736,322,97,0,0
25024,1,0,839,0,314,53,111640.16,148736,322,96,0,0
25322,1,0,839,0,314,53,111640.16,148736,322,96,0,0
25706,1,0,840,0,304,53,111640.16,148736,322,96,0,0
25925,1,0,840,0,304,53,111640.16,148736,322,96,0,0
26286,1,0,840,0,286,53,111640.16,148736,322,96,0,0
26540,1,0,839,0,286,53,111640.16,148736,322,96,0,0
26889,1,0,838,0,284,53,111640.16,148736,322,95,0,0
27200,1,0,837,0,284,53,111640.16,148736,322,95,0,0
27486,1,0,805,0,286,53,111640.16,148736,322,94,0,0
27706,1,0,837,0,286,53,111640.16,148736,322,94,0,0
28087,1,0,836,0,286,53,111640.16,148736,322,93,0,0
28294,1,0,836,0,286,53,111640.16,148736,322,93,0,0
28706,1,0,837,0,286,53,111640.16,148736,322,93,0,0
29080,1,0,838,0,286,53,111640.16,148736,322,93,0,1
29286,1,0,838,0,286,53,111640.16,148736,322,93,0,1
29674,1,0,840,0,518,53,111640.16,148736,322,92,0,1
29889,1,0,841,0,318,53,111640.16,148736,322,92,0,1
30261,1,0,881,0,0,53,111640.16,148736,322,91,0,1
30474,1,0,1178,0,0,53,111640.16,148736,322,91,0,1
30861,1,0,1114,0,0,53,111640.16,148736,322,91,0,1
31079,1,0,1085,0,0,53,111641.19,148736,322,90,0,1
31456,1,0,1026,0,0,53,111641.19,148736,322,90,0,1
31761,1,0,994,0,0,53,111641.19,148736,322,90,0,1
32140,1,0,995,0,0,53,111641.19,148736,322,90,0,1
32454,1,0,968,0,0,53,111641.19,148736,322,90,0,1
32661,1,0,972,0,0,53,111641.19,148736,322,90,0,1
33039,1,0,1095,0,0,53,111641.19,148736,322,90,0,1
33286,1,0,982,0,0,53,111641.19,148736,322,89,0,1
33640,1,0,1090,0,0,53,111641.19,148736,322,89,0,1
33874,1,0,999,0,0,53,111641.19,148736,322,89,0,1
34239,1,0,973,0,0,53,111642.21,148736,322,89,0,1
34476,1,0,925,0,4,53,111642.21,148736,322,89,0,1
34924,1,0,850,0,0,53,111642.21,148736,322,88,0,1
35138,1,0,850,0,0,53,111642.21,148736,322,88,0,1
35524,1,0,843,0,20,53,111642.21,148736,322,88,0,1
35740,1,0,811,0,20,53,111642.21,148736,322,88,0,1
36124,1,0,837,0,52,53,111642.21,148736,322,88,0,1
36227,1,0,837,0,52,53,111642.21,148736,322,88,0,1
36707,1,0,838,0,152,53,111642.21,148736,322,88,0,1
36924,1,0,838,0,152,53,111642.21,148736,322,88,0,1
37286,1,0,838,0,164,53,111642.21,148736,322,88,0,1
37524,1,0,838,0,164,53,111642.21,148736,322,88,0,1
37939,1,0,840,0,164,53,111642.21,148736,322,88,0,1
38286,1,0,840,0,164,53,111642.21,148736,322,88,0,1
