timestamp,ignition,speed,rpm,throttle,brake,fuel_level,fuel_cons,distance,range,oil_temp,esp,rear_gear
3291,1,0,1086,0,0,41,163566.80,0,0,66,0,0
3544,1,0,1058,0,0,41,163566.80,149719,214,66,0,0
3664,1,0,1060,0,0,41,163566.80,149719,214,66,0,0
3764,1,0,1061,0,0,41,163566.80,149719,214,66,0,0
3907,1,0,1062,0,0,41,163566.80,149719,214,66,0,0
3991,1,0,1064,0,0,41,163566.80,149719,214,67,0,0
4144,1,0,1066,0,0,41,163566.80,149719,214,67,0,0
4247,1,0,1067,0,0,41,163566.80,149719,214,67,0,0
4263,1,0,1067,0,0,41,163566.80,149719,214,67,0,0
4493,1,0,1068,0,0,41,163566.80,149719,214,67,0,0
4591,1,0,1068,0,0,41,163566.80,149719,214,67,0,0
4709,1,0,1068,0,0,41,163566.80,149719,214,67,0,0
4791,1,0,1067,0,0,41,163566.80,149719,214,67,0,0
4947,1,0,1068,0,0,41,163566.80,149719,214,67,0,0
5044,1,0,1068,0,0,41,163566.80,149719,214,67,0,0
5191,1,0,1068,0,0,41,163566.80,149719,214,67,0,0
5291,1,0,1067,0,0,41,163566.80,149719,214,67,0,0
5394,1,0,1067,0,0,41,163566.80,149719,214,67,0,0
5491,1,0,1067,0,0,41,163566.80,149719,214,67,0,0
5644,1,0,1067,0,0,41,163567.80,149719,214,67,0,0
5744,1,0,1035,0,0,41,163567.80,149719,214,67,0,0
5863,1,0,1035,0,0,41,163567.80,149719,214,67,0,0
5989,1,0,1035,0,0,41,163567.80,149719,214,67,0,0
6091,1,0,1006,0,0,41,163567.80,149719,214,67,0,0
6209,1,0,1008,0,0,41,163567.80,149719,214,67,0,0
6328,1,0,1010,0,0,41,163567.80,149719,214,67,0,0
6394,1,0,1045,0,0,41,163567.80,149719,214,67,0,0
6544,1,0,1046,0,0,41,163567.80,149719,214,67,0,0
6663,1,0,1046,0,0,41,163567.80,149719,214,68,0,0
6763,1,0,1046,0,0,41,163567.80,149719,214,68,0,0
6894,1,0,1046,0,0,41,163567.80,149719,214,68,0,0
6991,1,2,1046,0,0,41,163567.80,149719,214,68,0,0
7091,1,3,1047,0,0,41,163567.80,149719,214,68,0,0
7209,1,3,1050,0,0,41,163567.80,149719,214,68,0,0
7344,1,3,1051,0,0,41,163567.80,149719,214,68,0,0
7458,1,3,1052,0,0,41,163568.81,149719,214,68,0,0
7563,1,4,1085,0,0,41,163568.81,149719,214,68,0,0
7688,1,4,1086,0,0,41,163568.81,149719,214,68,0,0
7791,1,4,1088,0,0,41,163568.81,149719,214,68,0,0
7894,1,4,1056,0,0,41,163568.81,149719,214,68,0,0
7991,1,4,1086,0,0,41,163568.81,149719,214,68,0,0
8144,1,4,1051,0,0,41,163568.81,149719,214,68,0,0
8244,1,4,1049,0,0,41,163568.81,149719,214,68,0,0
8363,1,4,1047,0,0,41,163568.81,149719,214,68,0,0
8467,1,4,1013,0,0,41,163568.81,149719,214,68,0,0
8591,1,4,1010,0,0,41,163568.81,149719,214,68,0,0
8708,1,4,977,0,0,41,163568.81,149719,214,68,0,0
8791,1,4,1009,0,0,41,163568.81,149719,214,68,0,0
8894,1,4,975,0,0,41,163568.81,149719,214,68,0,0
9044,1,4,973,0,0,41,163568.81,149719,214,68,0,0
9163,1,4,939,0,0,41,163568.81,149719,214,68,0,0
9263,1,4,906,0,0,41,163569.83,149719,214,68,0,0
9391,1,5,905,0,0,41,163569.83,149719,214,68,0,0
9491,1,5,873,0,0,41,163569.83,149719,214,68,0,0
9591,1,5,809,0,0,41,163569.83,149719,214,68,0,0
9708,1,5,809,0,0,41,163569.83,149719,214,68,0,0
9844,1,6,874,4,0,41,163569.83,149719,214,68,0,0
9944,1,6,907,5,0,41,163569.83,149719,214,68,0,0
10063,1,6,954,5,0,41,163569.83,149719,214,68,0,0
10163,1,6,987,6,0,41,163569.83,149719,214,68,0,0
10291,1,7,987,6,0,41,163569.83,149719,214,68,0,0
10394,1,7,1019,6,0,41,163569.83,149719,214,68,0,0
10491,1,7,1019,6,0,41,163569.83,149719,214,68,0,0
10591,1,7,1051,13,0,41,163569.83,149719,214,68,0,0
10744,1,7,1085,18,0,41,163569.83,149719,214,68,0,0
10844,1,7,1073,18,0,41,163569.83,149719,214,68,0,0
10963,1,7,1060,18,0,41,163570.84,149719,214,68,0,0
11091,1,7,1131,18,0,41,163570.84,149719,214,68,0,0
11191,1,8,1161,18,0,41,163570.84,149719,214,68,0,0
11291,1,8,1156,18,0,41,163570.84,149719,214,68,0,0
11394,1,8,1177,18,0,41,163570.84,149719,214,68,0,0
11538,1,8,1172,20,0,41,163570.84,149719,214,68,0,0
11650,1,8,1206,20,0,41,163570.84,149719,214,68,0,0
11763,1,8,1177,20,0,41,163570.84,149719,214,68,0,0
11863,1,8,1180,23,0,41,163570.84,149719,214,68,0,0
11991,1,8,1153,26,0,41,163570.84,149719,214,68,0,0
12091,1,8,1185,27,0,41,163570.84,149719,214,68,0,0
12208,1,8,1190,27,0,41,163570.84,149719,214,68,0,0
12338,1,8,1193,28,0,41,163571.86,149719,214,68,0,0
12445,1,8,1193,29,0,41,163571.86,149719,214,68,0,0
12563,1,8,1256,30,0,41,163571.86,149719,214,67,0,0
12663,1,8,1260,30,0,41,163571.86,149719,214,67,0,0
12791,1,8,1199,30,0,41,163571.86,149719,214,67,0,0
12894,1,8,1228,30,0,41,163571.86,149719,214,67,0,0
12991,1,8,1264,30,0,41,163571.86,149719,214,67,0,0
13091,1,8,1268,30,0,41,163571.86,149719,214,67,0,0
13244,1,8,1235,39,0,41,163571.86,149719,214,67,0,0
13363,1,8,1295,39,0,41,163571.86,149719,214,67,0,0
13467,1,9,1298,40,0,41,163572.88,149719,214,67,0,0
13591,1,9,1306,40,0,41,163572.88,149719,214,67,0,0
13708,1,9,1309,41,0,41,163572.88,149719,214,67,0,0
13791,1,9,1314,42,0,41,163572.88,149719,214,67,0,0
13938,1,9,1352,48,0,41,163572.88,149719,214,67,0,0
14044,1,9,1422,48,0,41,163572.88,149719,214,67,0,0
14163,1,10,1429,49,0,41,163572.88,149719,214,67,0,0
14263,1,10,1436,49,0,41,163572.88,149719,214,67,0,0
14394,1,10,1448,49,0,41,163572.88,149719,214,67,0,0
14491,1,10,1486,49,0,41,163573.88,149719,214,67,0,0
14591,1,10,1557,50,0,41,163573.88,149719,214,67,0,0
14738,1,11,1560,51,0,41,163573.88,149719,214,67,0,0
14844,1,11,1628,52,0,41,163573.88,149719,214,67,0,0
14963,1,11,1631,53,0,41,163573.88,149719,214,67,0,0
15078,1,11,1634,53,0,41,163573.88,149719,214,67,0,0
15191,1,12,1645,54,0,41,163573.88,149719,214,67,0,0
15291,1,12,1684,54,0,41,163574.94,149719,214,67,0,0
15394,1,12,1724,54,0,41,163574.94,149719,214,67,0,0
15544,1,12,1732,54,0,41,163574.94,149719,214,67,0,0
15649,1,12,1771,54,0,41,163574.94,149719,214,67,0,0
15763,1,12,1777,54,0,41,163574.94,149719,214,67,0,0
15863,1,12,1814,54,0,41,163574.94,149719,214,67,0,0
15991,1,13,1822,54,0,41,163575.97,149719,214,67,0,0
16091,1,13,1825,53,0,41,163575.97,149719,214,67,0,0
16208,1,13,1858,42,0,41,163575.97,149719,214,67,0,0
16344,1,13,1874,6,0,41,163575.97,149719,214,67,0,0
16463,1,13,1672,0,0,41,163575.97,149719,214,67,0,0
16578,1,12,1634,0,0,41,163575.97,149719,214,67,0,0
16691,1,13,1518,0,0,41,163575.97,149719,214,67,0,0
16791,1,13,1464,0,0,41,163575.97,149719,214,67,0,0
16894,1,13,1412,0,0,41,163575.97,149719,214,67,0,0
16991,1,13,1353,0,0,41,163575.97,149719,214,67,0,0
17144,1,13,1285,0,0,41,163576.98,149719,214,67,0,0
17263,1,13,1249,0,0,41,163576.98,149719,214,67,0,0
17363,1,13,1152,8,0,41,163576.98,149719,214,67,0,0
17491,1,12,985,11,0,41,163576.98,149719,214,67,0,0
17591,1,13,1006,13,0,41,163576.98,149719,214,67,0,0
17708,1,13,1027,33,0,41,163576.98,149719,214,67,0,0
17828,1,13,1087,40,0,41,163576.98,149719,214,67,0,0
17944,1,13,1000,45,0,41,163576.98,149719,214,67,0,0
18063,1,13,1032,57,0,41,163576.98,149719,214,67,0,0
18163,1,14,1060,65,0,41,163576.98,149719,214,67,0,0
18291,1,14,1098,69,0,41,163576.98,149719,214,67,0,0
18394,1,14,1069,78,0,41,163576.98,149719,214,67,0,0
18491,1,14,1133,84,0,41,163578.03,149719,214,67,0,0
18591,1,14,1144,84,0,41,163578.03,149719,214,67,0,0
18744,1,15,1180,78,0,41,163578.03,149719,214,67,0,0
18863,1,15,1152,72,0,41,163578.03,149719,214,67,0,0
18963,1,15,1156,56,0,41,163578.03,149719,214,67,0,0
19091,1,16,1218,49,0,41,163578.03,149719,214,67,0,0
19208,1,16,1233,34,0,41,163578.03,149719,214,67,0,0
19291,1,16,1226,32,0,41,163578.03,149719,214,67,0,0
19439,1,16,1262,14,0,41,163578.03,149719,214,67,0,0
19544,1,16,1255,6,0,41,163579.05,149719,214,67,0,0
19663,1,16,1276,0,0,41,163579.05,149719,214,67,0,0
19763,1,16,1265,0,0,41,163579.05,149719,214,67,0,0
19894,1,16,1244,0,0,41,163579.05,149719,214,67,0,0
19991,1,16,1239,0,0,41,163579.05,149719,214,67,0,0
20091,1,16,1178,0,0,41,163579.05,149719,214,67,0,0
20238,1,16,1111,0,24,41,163579.05,149719,214,67,0,0
20344,1,16,1069,0,18,41,163579.05,149719,214,67,0,0
20466,1,16,1064,0,34,41,163579.05,149719,214,67,0,0
20578,1,16,1036,0,32,41,163579.05,149719,214,67,0,0
20691,1,15,1041,0,58,41,163579.05,149719,214,67,0,0
20791,1,15,1041,0,70,41,163579.05,149719,214,67,0,0
20894,1,15,1009,0,78,41,163579.05,149719,214,67,0,0
21038,1,14,1009,0,78,41,163579.05,149719,214,67,0,0
21149,1,14,1009,0,78,41,163579.05,149719,214,67,0,0
21263,1,13,1009,0,80,41,163579.05,149719,214,67,0,0
21363,1,12,976,0,76,41,163579.05,149719,214,67,0,0
21491,1,12,978,0,74,41,163579.05,149719,214,67,0,0
21591,1,11,978,0,72,41,163579.05,149719,214,67,0,0
21844,1,10,978,0,68,41,163579.05,149719,214,67,0,0
21963,1,9,978,0,62,41,163580.06,149719,214,67,0,0
22088,1,9,947,0,28,41,163580.06,149719,214,67,0,0
22194,1,9,949,0,16,41,163580.06,149719,214,67,0,0
22291,1,9,949,0,10,41,163580.06,149719,214,67,0,0
22394,1,9,949,0,12,41,163580.06,149719,214,67,0,0
22544,1,8,950,0,6,41,163580.06,149719,214,67,0,0
22649,1,9,951,0,8,41,163580.06,149719,214,67,0,0
22763,1,9,919,0,8,41,163580.06,149719,214,67,0,0
22863,1,8,920,0,12,41,163580.06,149719,214,67,0,0
22991,1,9,924,0,18,41,163580.06,149719,214,67,0,0
23091,1,9,926,0,22,41,163580.06,149719,214,67,0,0
23208,1,9,896,0,30,41,163580.06,149719,214,67,0,0
23343,1,8,897,0,28,41,163580.06,149719,214,67,0,0
23458,1,9,897,0,34,41,163580.06,149719,214,67,0,0
23563,1,8,897,0,30,41,163580.06,149719,214,67,0,0
23691,1,8,897,0,34,41,163580.06,149719,214,67,0,0
23791,1,8,898,0,34,41,163580.06,149719,214,67,0,0
23894,1,8,900,0,26,41,163580.06,149719,214,67,0,0
23997,1,8,900,0,0,41,163580.06,149719,214,67,0,0
24144,1,8,900,0,0,41,163581.08,149719,214,67,0,0
24249,1,9,931,0,0,41,163581.08,149719,214,67,0,0
24363,1,9,901,0,0,41,163581.08,149719,214,67,0,0
24491,1,9,933,0,0,41,163581.08,149719,214,67,0,0
24591,1,9,932,0,0,41,163581.08,149719,214,67,0,0
24708,1,8,964,9,0,41,163581.08,149719,214,67,0,0
24828,1,8,1124,13,0,41,163581.08,149719,214,68,0,0
24943,1,8,1343,21,0,41,163581.08,149719,214,68,0,0
25043,1,9,1381,21,0,41,163581.08,149719,214,68,0,0
25163,1,8,1325,21,0,41,163581.08,149719,214,68,0,0
25288,1,9,1269,22,0,41,163581.08,149719,214,68,0,0
25394,1,9,1310,27,0,41,163581.08,149719,214,68,0,0
25492,1,9,1375,33,0,41,163581.08,149719,214,68,0,0
25591,1,9,1382,44,0,41,163581.08,149719,214,68,0,0
25743,1,9,1346,45,0,41,163582.11,149719,214,68,0,0
25863,1,10,1432,47,0,41,163582.11,149719,214,68,0,0
25963,1,10,1442,61,0,41,163582.11,149719,214,68,0,0
26091,1,10,1481,73,0,41,163582.11,149719,214,68,0,0
26208,1,10,1516,76,0,41,163582.11,149719,214,68,0,0
26291,1,11,1557,77,0,41,163582.11,149719,214,68,0,0
26394,1,11,1570,78,0,41,163582.11,149719,214,68,0,0
26543,1,11,1682,80,0,41,163583.14,149719,214,68,0,0
26663,1,12,1701,80,0,41,163583.14,149719,214,68,0,0
26763,1,12,1778,80,0,41,163583.14,149719,214,68,0,0
26893,1,12,1839,81,0,41,163583.14,149719,214,68,0,0
26991,1,13,1916,81,0,41,163583.14,149719,214,68,0,0
27091,1,13,1961,81,0,41,163584.16,149719,214,68,0,0
27210,1,14,2035,81,0,41,163584.16,149719,214,68,0,0
27343,1,14,2110,81,0,41,163584.16,149719,214,68,0,0
27463,1,15,2153,81,0,41,163584.16,149719,214,68,0,0
27578,1,15,2195,81,0,41,163585.17,149719,214,68,0,0
27690,1,16,2281,81,0,41,163585.17,149719,214,68,0,0
27790,1,16,2360,81,0,41,163585.17,149719,214,68,0,0
27893,1,16,2372,83,0,41,163585.17,149719,214,68,0,0
28038,1,17,2478,89,0,41,163586.20,149719,214,68,0,0
28149,1,17,2530,89,0,41,163586.20,149719,214,68,0,0
28263,1,18,2645,90,0,41,163586.20,149719,214,68,0,0
28379,1,19,2700,91,0,41,163586.20,149719,214,68,0,0
28491,1,19,2806,93,0,41,163587.25,149719,214,68,0,0
28590,1,20,2892,93,0,41,163587.25,149719,214,68,0,0
28708,1,20,2970,93,0,41,163587.25,149719,214,68,0,0
28843,1,21,3048,86,0,41,163588.30,149719,214,68,0,0
28943,1,21,3128,80,0,41,163588.30,149719,214,68,0,0
29063,1,22,3172,72,0,41,163588.30,149719,214,68,0,0
29163,1,23,3263,49,0,41,163589.44,149719,214,68,0,0
29291,1,23,3188,26,0,41,163589.44,149719,214,68,0,0
29394,1,23,3010,0,0,41,163589.44,149719,214,68,0,0
29491,1,23,2838,0,0,41,163590.48,149719,211,68,0,0
29591,1,23,2613,0,0,41,163590.48,149719,211,68,0,0
29743,1,23,2285,0,0,41,163590.48,149719,211,69,0,0
29863,1,23,2120,0,0,41,163590.48,149719,211,69,0,0
29963,1,23,1924,0,0,41,163590.48,149719,211,69,0,0
30091,1,23,1715,5,0,41,163590.48,149719,211,69,0,0
30208,1,23,1680,15,0,41,163590.48,149719,211,69,0,0
30328,1,22,1814,23,0,41,163590.48,149719,211,69,0,0
30438,1,22,1770,31,0,41,163590.48,149719,211,69,0,0
30543,1,22,1711,45,0,41,163590.48,149719,211,69,0,0
30663,1,23,1816,63,0,41,163590.48,149719,211,69,0,0
30763,1,23,1758,71,0,41,163590.48,149719,211,69,0,0
30893,1,23,1728,78,0,41,163591.53,149719,211,69,0,0
30990,1,23,1777,81,0,41,163591.53,149719,211,69,0,0
31090,1,23,1797,82,0,41,163591.53,149719,211,69,0,0
31243,1,23,1830,82,0,41,163591.53,149719,211,69,0,0
31343,1,24,1837,82,0,41,163591.53,149719,211,69,0,0
31466,1,24,1877,80,0,41,163592.56,149719,211,69,0,0
31588,1,25,1913,79,0,41,163592.56,149719,211,69,0,0
31690,1,25,1893,71,0,41,163592.56,149719,211,69,0,0
31790,1,25,1945,66,0,41,163592.56,149719,211,69,0,0
31893,1,25,1922,57,0,41,163592.56,149719,211,69,0,0
32043,1,25,1932,44,0,41,163593.66,149719,211,69,0,0
32149,1,26,1952,42,0,41,163593.66,149719,211,69,0,0
32263,1,26,1981,41,0,41,163593.66,149719,211,69,0,0
32391,1,26,1959,41,0,41,163593.66,149719,211,69,0,0
32491,1,26,2015,40,0,41,163593.66,149719,211,69,0,0
32590,1,26,1964,40,0,41,163593.66,149719,211,69,0,0
32708,1,26,2014,40,0,41,163593.66,149719,211,69,0,0
32790,1,26,1990,40,0,41,163594.69,149719,211,69,0,0
32943,1,26,1998,40,0,41,163594.69,149719,211,69,0,0
32977,1,26,1998,40,0,41,163594.69,149719,211,69,0,0
33171,1,26,2006,40,0,41,163594.69,149719,211,69,0,0
33299,1,26,2006,40,0,41,163594.69,149719,211,69,0,0
33438,1,26,2006,45,0,41,163594.69,149719,211,69,0,0
33563,1,26,1997,45,0,41,163594.69,149719,211,69,0,0
33693,1,26,2035,45,0,41,163594.69,149719,211,69,0,0
33790,1,27,1986,45,0,41,163594.69,149719,211,69,0,0
33943,1,26,2029,45,0,41,163595.75,149719,211,69,0,0
34078,1,27,2062,45,0,41,163595.75,149719,211,69,0,0
34193,1,27,2068,45,0,41,163595.75,149719,211,69,0,0
34290,1,27,2031,45,0,41,163595.75,149719,211,69,0,0
34438,1,27,2031,45,0,41,163595.75,149719,211,69,0,0
34562,1,27,2079,45,0,41,163595.75,149719,211,69,0,0
34663,1,27,2077,45,0,41,163596.80,149719,211,69,0,0
34791,1,27,2071,46,0,41,163596.80,149719,211,69,0,0
34791,1,27,2071,46,0,41,163596.80,149719,211,69,0,0
