timestamp,ignition,speed,rpm,throttle,brake,fuel_level,fuel_cons,distance,range,oil_temp,esp,rear_gear
7156,1,0,0,0,80,0,21259.17,146579,2234,0,0,0
7271,1,0,0,0,1,0,21259.17,146579,2234,24,0,0
7371,1,0,0,0,0,0,21259.17,146579,2234,24,0,0
7499,1,0,160,0,0,0,21259.17,146579,2234,24,0,0
7599,1,0,160,0,0,0,21259.17,146579,2234,24,0,0
7716,1,0,256,0,0,0,21259.17,146579,2234,24,0,0
7798,1,0,317,0,0,0,21259.17,146579,2234,24,0,0
7946,1,0,587,0,0,0,21259.17,146579,2234,24,0,0
8046,1,0,1307,0,0,0,21259.17,146579,2234,24,0,0
8160,1,0,1552,0,0,26,21259.17,146579,2234,24,0,0
8279,1,0,1484,0,0,26,21259.17,146579,2234,24,0,0
8371,1,0,1463,0,0,26,21259.17,146579,2234,24,0,0
8497,1,0,1415,0,0,26,21259.17,146579,186,24,0,0
8599,1,0,1378,0,0,26,21259.17,146579,186,24,0,0
8715,1,0,1371,0,0,26,21259.17,146579,186,24,0,0
8771,1,0,1393,0,0,26,21259.17,146579,186,24,0,0
8902,1,0,1349,0,0,26,21260.20,146579,186,24,0,0
9006,1,0,1350,0,0,26,21260.20,146579,186,24,0,0
9152,1,0,1371,0,0,26,21260.20,146579,186,24,0,0
9252,1,0,1367,0,0,26,21260.20,146579,186,24,0,0
9371,1,0,1368,0,0,26,21260.20,146579,186,24,0,0
9480,1,0,1369,0,0,26,21260.20,146579,186,24,0,0
9586,1,0,1373,0,0,26,21260.20,146579,186,24,0,0
9699,1,0,1352,0,0,26,21260.20,146579,186,24,0,0
9796,1,0,1356,0,0,26,21260.20,146579,186,24,0,1
9903,1,0,1364,0,0,26,21260.20,146579,186,24,0,1
9999,1,0,1374,0,0,26,21260.20,146579,186,24,0,1
10099,1,0,1348,0,0,26,21260.20,146579,186,24,0,1
10251,1,0,1355,8,0,26,21261.22,146579,186,24,0,1
10351,1,0,1390,16,0,26,21261.22,146579,186,24,0,1
10466,1,0,1448,18,0,26,21261.22,146579,186,24,0,1
10571,1,0,1493,18,0,26,21261.22,146579,186,24,0,1
10671,1,0,1495,18,0,26,21261.22,146579,186,24,0,1
10771,1,0,1486,18,0,26,21262.27,146579,186,24,0,1
10902,1,0,1462,18,0,26,21262.27,146579,186,24,0,1
10999,1,0,1421,18,0,26,21262.27,146579,186,24,0,1
11099,1,0,1432,18,0,26,21262.27,146579,186,24,0,1
11216,1,0,1409,18,0,26,21262.27,146579,186,24,0,1
11346,1,0,1413,18,0,26,21262.27,146579,186,24,0,1
11452,1,0,1413,17,0,26,21263.32,146579,186,24,0,1
11551,1,0,1380,17,0,26,21263.32,146579,186,24,0,1
11671,1,0,1406,16,0,26,21263.32,146579,186,24,0,1
11771,1,0,1393,16,0,26,21263.32,146579,186,24,0,1
11871,1,0,1353,16,0,26,21263.32,146579,186,24,0,1
11999,1,0,1406,16,0,26,21263.32,146579,186,24,0,1
12099,1,0,1366,16,0,26,21264.36,146579,186,24,0,1
12216,1,0,1362,16,0,26,21264.36,146579,186,24,0,1
12299,1,0,1357,16,0,26,21264.36,146579,186,24,0,1
12401,1,0,1352,16,0,26,21264.36,146579,186,24,0,1
12552,1,0,1319,16,0,26,21264.36,146579,186,24,0,1
12660,1,0,1316,15,0,26,21264.36,146579,186,24,0,1
12771,1,2,1313,15,0,26,21264.36,146579,186,24,0,1
12871,1,2,1343,15,0,26,21264.36,146579,186,24,0,1
12972,1,3,1308,13,0,26,21265.39,146579,186,24,0,1
13098,1,3,1304,11,0,26,21265.39,146579,186,24,0,1
13198,1,3,1264,6,0,26,21265.39,146579,186,24,0,1
13296,1,3,1263,0,0,26,21265.39,146579,186,24,0,1
13402,1,3,1219,0,0,26,21265.39,146579,186,24,0,1
13499,1,4,1267,0,0,26,21265.39,146579,186,24,0,1
13598,1,4,1300,0,0,26,21265.39,146579,186,25,0,1
13751,1,4,1282,0,0,26,21265.39,146579,186,25,0,1
13871,1,3,1295,0,0,26,21265.39,146579,186,25,0,1
13972,1,3,1311,0,0,26,21265.39,146579,186,25,0,1
14086,1,3,1264,0,0,26,21265.39,146579,186,25,0,1
14198,1,3,1226,0,0,26,21265.39,146579,186,25,0,1
14298,1,3,1187,0,0,26,21266.42,146579,186,25,0,1
14401,1,3,1194,0,0,26,21266.42,146579,186,25,0,1
14499,1,3,1196,0,0,26,21266.42,146579,186,25,0,1
14599,1,3,1166,0,0,26,21266.42,146579,186,25,0,1
14746,1,3,1166,0,0,26,21266.42,146579,186,25,0,1
14852,1,3,1130,0,0,26,21266.42,146579,186,25,0,1
14951,1,3,1127,0,0,26,21266.42,146579,186,25,0,1
15071,1,3,1092,0,0,26,21266.42,146579,186,25,0,1
15171,1,2,1091,0,0,26,21266.42,146579,186,25,0,1
15271,1,2,1059,0,0,26,21266.42,146579,186,25,0,1
15402,1,2,1026,8,0,26,21266.42,146579,186,26,0,1
15499,1,2,1063,10,0,26,21266.42,146579,186,26,0,1
15598,1,2,1113,14,0,26,21266.42,146579,186,26,0,1
15716,1,2,1144,16,0,26,21267.46,146579,186,26,0,1
15836,1,2,1166,18,0,26,21267.46,146579,186,26,0,1
15951,1,3,1170,23,0,26,21267.46,146579,186,26,0,1
16051,1,3,1166,23,0,26,21267.46,146579,186,26,0,1
16171,1,3,1170,23,0,26,21267.46,146579,186,26,0,1
16271,1,3,1171,23,0,26,21267.46,146579,186,26,0,1
16371,1,3,1171,23,0,26,21267.46,146579,186,26,0,1
16499,1,3,1169,23,0,26,21267.46,146579,186,26,0,1
16598,1,3,1170,23,0,26,21267.46,146579,186,26,0,1
16716,1,3,1169,23,0,26,21268.51,146579,186,26,0,1
16822,1,3,1167,23,0,26,21268.51,146579,186,26,0,1
16901,1,3,1166,23,0,26,21268.51,146579,186,26,0,1
17045,1,3,1132,23,0,26,21268.51,146579,186,26,0,1
17151,1,3,1126,23,0,26,21268.51,146579,186,26,0,1
17251,1,3,1127,23,0,26,21268.51,146579,186,26,0,1
17372,1,3,1096,23,0,26,21268.51,146579,186,26,0,1
17479,1,3,1098,23,0,26,21268.51,146579,186,26,0,1
17586,1,4,1067,23,0,26,21268.51,146579,186,26,0,1
17699,1,4,1070,23,0,26,21268.51,146579,186,26,0,1
17771,1,4,1071,23,0,26,21269.55,146579,186,26,0,1
17901,1,4,1071,23,0,26,21269.55,146579,186,26,0,1
17998,1,4,1069,23,0,26,21269.55,146579,186,26,0,1
18098,1,4,1067,23,0,26,21269.55,146579,186,26,0,1
18247,1,4,1096,19,0,26,21269.55,146579,186,26,0,1
18298,1,4,1096,19,0,26,21269.55,146579,186,26,0,1
18467,1,5,972,0,0,26,21269.55,146579,186,26,0,1
18571,1,5,960,0,0,26,21269.55,146579,186,26,0,1
18671,1,5,1019,0,0,26,21269.55,146579,186,26,0,1
18771,1,4,1003,0,0,26,21269.55,146579,186,26,0,1
18901,1,5,1025,0,0,26,21269.55,146579,186,26,0,1
18998,1,5,1052,0,0,26,21269.55,146579,186,26,0,1
19098,1,4,1038,0,0,26,21269.55,146579,186,26,0,1
19216,1,4,1052,0,0,26,21269.55,146579,186,26,0,1
19346,1,4,1061,0,0,26,21270.55,146579,186,26,0,1
19451,1,4,1098,0,14,26,21270.55,146579,186,26,0,1
19551,1,4,1142,0,10,26,21270.55,146579,186,26,0,1
19671,1,4,1183,0,16,26,21270.55,146579,186,26,0,1
19771,1,4,1186,0,18,26,21270.55,146579,186,26,0,1
19871,1,4,1188,0,16,26,21270.55,146579,186,26,0,1
20000,1,4,1227,0,2,26,21270.55,146579,186,26,0,1
20098,1,4,1262,0,0,26,21270.55,146579,186,26,0,1
20216,1,4,1264,0,14,26,21270.55,146579,186,26,0,1
20298,1,4,1303,0,36,26,21270.55,146579,186,26,0,1
20401,1,4,1311,0,36,26,21270.55,146579,186,26,0,1
20551,1,4,1282,0,32,26,21270.55,146579,186,26,0,1
20660,1,4,1286,0,30,26,21270.55,146579,186,26,0,1
20771,1,3,1321,0,16,26,21270.55,146579,186,26,0,1
20871,1,3,1323,0,2,26,21271.58,146579,186,27,0,1
20970,1,3,1324,0,2,26,21271.58,146579,186,27,0,1
21098,1,3,1359,0,0,26,21271.58,146579,186,27,0,1
21198,1,3,1360,0,0,26,21271.58,146579,186,27,0,1
21271,1,3,1361,0,0,26,21271.58,146579,186,27,0,1
21401,1,3,1329,0,0,26,21271.58,146579,186,27,0,1
21499,1,3,1329,0,0,26,21271.58,146579,186,27,0,1
21598,1,3,1361,0,0,26,21271.58,146579,186,27,0,1
21751,1,3,1362,0,0,26,21271.58,146579,186,27,0,1
21851,1,3,1363,0,0,26,21271.58,146579,186,27,0,1
21971,1,3,1363,0,0,26,21271.58,146579,186,27,0,1
22085,1,3,1362,0,0,26,21272.62,146579,186,27,0,1
22195,1,3,1361,0,0,26,21272.62,146579,186,27,0,1
22270,1,3,1362,0,0,26,21272.62,146579,186,27,0,1
22401,1,3,1363,0,0,26,21272.62,146579,186,27,0,1
22499,1,3,1362,0,0,26,21272.62,146579,186,27,0,1
22598,1,3,1362,0,0,26,21272.62,146579,186,27,0,1
22716,1,3,1363,0,0,26,21272.62,146579,186,27,0,1
22851,1,3,1362,0,10,26,21272.62,146579,186,27,0,1
22951,1,3,1362,0,10,26,21272.62,146579,186,27,0,1
23071,1,3,1362,0,6,26,21272.62,146579,186,27,0,1
23170,1,3,1363,0,6,26,21272.62,146579,186,27,0,1
23271,1,3,1362,0,6,26,21273.62,146579,186,27,0,1
23401,1,3,1362,0,0,26,21273.62,146579,186,27,0,1
23499,1,3,1361,0,0,26,21273.62,146579,186,27,0,1
