timestamp,ignition,speed,rpm,throttle,brake,fuel_level,fuel_cons,distance,range,oil_temp,esp,rear_gear
4457,1,0,0,0,262,0,166715.19,149767,2284,0,0,0
4638,1,0,0,0,260,0,166715.19,149767,2284,77,0,0
4760,1,0,0,0,262,0,166715.19,149767,2284,77,0,0
4760,1,0,0,0,262,0,166715.19,149767,2284,77,0,0
4982,1,0,128,0,264,0,166715.19,149767,2284,77,0,0
5129,1,0,224,0,264,0,166715.19,149767,2284,77,0,0
5238,1,0,256,0,264,0,166715.19,149767,2284,77,0,0
5292,1,0,256,0,266,0,166715.19,149767,2284,77,0,0
5468,1,0,571,0,266,0,166715.19,149767,2284,77,0,0
5582,1,0,1091,0,328,0,166715.19,149767,2284,77,0,0
5702,1,0,1170,0,378,0,166715.19,149767,2284,77,0,0
5793,1,0,1200,0,430,0,166715.19,149767,2284,77,0,0
5906,1,0,1189,0,430,38,166715.19,149767,2284,77,0,0
6038,1,0,1141,0,538,38,166715.19,149767,2284,77,0,0
6158,1,0,1073,0,574,38,166715.19,149767,2284,77,0,0
6265,1,0,1005,0,600,38,166715.19,149767,2284,77,0,0
6282,1,0,941,0,616,38,166715.19,149767,2284,77,0,0
6483,1,0,837,0,628,38,166715.19,149767,236,77,0,0
6629,1,0,835,0,626,38,166715.19,149767,236,77,0,0
6738,1,0,835,0,624,38,166715.19,149767,236,77,0,0
6782,1,0,835,0,622,38,166715.19,149767,236,77,0,0
6938,1,0,836,0,622,38,166715.19,149767,236,77,0,0
7082,1,0,838,0,564,38,166715.19,149767,236,77,0,0
7182,1,0,841,0,554,38,166715.19,149767,236,77,0,0
7260,1,0,844,0,554,38,166715.19,149767,236,77,0,0
7418,1,0,844,0,554,38,166715.19,149767,236,77,0,0
7538,1,0,844,0,552,38,166715.19,149767,236,77,0,0
7658,1,0,844,0,552,38,166715.19,149767,236,77,0,0
7760,1,0,844,0,552,38,166715.19,149767,236,77,0,0
7782,1,0,844,0,552,38,166715.19,149767,236,77,0,0
7982,1,0,844,0,552,38,166715.19,149767,236,77,0,0
8082,1,0,844,0,548,38,166715.19,149767,236,77,0,0
8202,1,0,844,0,544,38,166715.19,149767,236,77,0,0
8282,1,0,845,0,542,38,166715.19,149767,236,77,0,0
8429,1,0,845,0,542,38,166715.19,149767,236,77,0,0
8558,1,0,845,0,534,38,166716.19,149767,236,77,0,0
8682,1,0,845,0,516,38,166716.19,149767,236,77,0,0
8779,1,0,845,0,516,38,166716.19,149767,236,77,0,0
8904,1,0,845,0,504,38,166716.19,149767,236,77,0,0
9029,1,0,845,0,470,38,166716.19,149767,236,77,0,0
9138,1,0,845,0,456,38,166716.19,149767,236,77,0,0
